row	column	cor	p	group
86	T.cells_CD8	BATF2	0.102941176470588	0.704410381816771	ASPS
87	CytolyticScore	BATF2	0.135294117647059	0.617367408970642	ASPS
88	T.cells_CD8	BATF3	0.644117647058824	0.00708152408658291	ASPS
89	CytolyticScore	BATF3	0.714705882352941	0.00186274109994744	ASPS
90	T.cells_CD8	BBX	-0.417647058823529	0.107474079399301	ASPS
91	CytolyticScore	BBX	-0.470588235294118	0.0658194725010812	ASPS
92	T.cells_CD8	BCL11A	0.308823529411765	0.244498695798518	ASPS
93	CytolyticScore	BCL11A	0.155882352941176	0.564281969472802	ASPS
94	T.cells_CD8	BCL11B	0.920588235294118	4.32041042719433e-07	ASPS
95	CytolyticScore	BCL11B	0.870588235294118	1.14989348027894e-05	ASPS
96	T.cells_CD8	BCL3	0.285294117647059	0.284138740159563	ASPS
97	CytolyticScore	BCL3	0.361764705882353	0.168558822503884	ASPS
98	T.cells_CD8	BCL6	0.0970588235294118	0.720651308237203	ASPS
99	CytolyticScore	BCL6	0.0970588235294118	0.720651308237203	ASPS
100	T.cells_CD8	BCL6B	0.2	0.4576879050752	ASPS
101	CytolyticScore	BCL6B	0.394117647058824	0.130912854298991	ASPS
102	T.cells_CD8	BHLHA15	0.113985456894281	0.674243359433474	ASPS
103	CytolyticScore	BHLHA15	0.0598906637919104	0.825616831386448	ASPS
104	T.cells_CD8	BHLHA9	0.308061618486162	0.245725166221649	ASPS
105	CytolyticScore	BHLHA9	0.420084025208403	0.105228057983522	ASPS
106	T.cells_CD8	BHLHE22	0.326470588235294	0.217159490579229	ASPS
107	CytolyticScore	BHLHE22	0.155882352941176	0.564281969472802	ASPS
108	T.cells_CD8	BHLHE23	-0.140028008402801	0.604990421586917	ASPS
109	CytolyticScore	BHLHE23	-0.140028008402801	0.604990421586917	ASPS
110	T.cells_CD8	BHLHE41	0.0205882352941176	0.939673739789045	ASPS
111	CytolyticScore	BHLHE41	-0.15	0.579248630664253	ASPS
112	T.cells_CD8	BNC1	0.0529411764705882	0.845610441149366	ASPS
113	CytolyticScore	BNC1	0.0911764705882353	0.737004950173659	ASPS
114	T.cells_CD8	BNC2	0	1	ASPS
115	CytolyticScore	BNC2	0.00294117647058824	0.991374804556362	ASPS
