GeneName	YSTNormalsStatus	RMS.FNNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	WTNormalsStatus	OSNormalsStatus	UDSNormalsStatus	NB.UnknownNormalsStatus	EWSNormalsStatus	SSNormalsStatus	RMS.FPNormalsStatus	CCSKNormalsStatus	MLNormalsStatus	DSRCTNormalsStatus	TeratomaNormalsStatus	ASPSNormalsStatus	HBLNormalsStatus	RowSum
KDM5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL13RA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTHL17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSGA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEMGN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRDT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF20B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPACA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HORMAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEFF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGSF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPXCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAGE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPD6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
