GeneName,isSU2CSurfaceProtein,isSurfaceomeSurfaceProtein,isCDDSurfaceProtein,isGOSurfaceProtein,isSurfaceProteinEvidence,AmiGo...GO..Intrinsic,AmiGo...GO..Extrinsic,knowledge,experiments,prediction,textmining,CellSurfaceProteinAtlas,HumanProteinAtlas,Evidence_count,NewCount
MARCO,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
MAL,Y,Y,N,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,membrane|BFO_0000001|cellular_component|membrane-part|extrinsic-component-of-membrane,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
MAG,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
LY9,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
LTK,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LTB4R2,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LSR,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,N,Y,9,10
LSAMP,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|anchored-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
LRRN4,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LRRN3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
LRRN1,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
LRP8,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LRP5,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
LRP2,Y,N,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
LRP1B,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
LRP12,Y,N,Y,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,8,10
LRP11,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
LRP10,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
LRFN3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,9,10
LRFN1,Y,N,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
LRBA,N,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,membrane|BFO_0000001|cellular_component|membrane-part|extrinsic-component-of-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,N,Y,9,10
LPHN2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,N,9,10
LPAR6,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
LPAR3,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LPAR2,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LPAR1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LNPEP,Y,Y,Y,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
LILRB4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
LIFR,Y,Y,Y,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
LHFPL5,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LHCGR,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LGR5,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LGR4,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LAYN,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,N,Y,9,10
LAX1,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,N,Y,9,10
LAPTM5,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
LAIR1,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
KLRG1,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
KLRF1,Y,Y,N,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
KLRB1,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
KITLG,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
KISS1R,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
KIRREL3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
KIRREL2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
KIAA1161,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
KIAA0319,Y,Y,Y,Y,Y,L-------membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
KEL,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
KDR,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNV1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNT1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNS2,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNS1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNQ5,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNQ4,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNQ3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNQ2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNQ1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNMA1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNK17,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
KCNH8,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNH7,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNH6,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNH5,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNH4,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNH3,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNH2,Y,Y,Y,Y,Y,NA,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
KCNG3,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNG2,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNG1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCND3,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCND2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNC4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNC3,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNC1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNB2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNB1,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNA7,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNA5,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNA4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNA2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNA10,Y,Y,Y,Y,Y,cation-channel-complex|plasma-membrane|ion-channel-complex|transmembrane-transporter-complex|intrinsic-component-of-plasma-membrane|cell|potassium-channel-complex|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|voltage-gated-potassium-channel-complex|macromolecular-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
KCNA1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,N,Y,9,10
JAM3,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,8,10
ITPR3,Y,N,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
ITPR2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
ITPR1,Y,Y,Y,N,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,NA,Y,Y,8,10
ITM2C,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,N,Y,9,10
ITGB4,Y,N,Y,Y,Y,integrin-complex|plasma-membrane|cell|intrinsic-component-of-plasma-membrane|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex-involved-in-cell-adhesion|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|cell-part|BFO_0000001|integral-component-of-membrane|membrane-part,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
ITGA5,Y,N,Y,Y,Y,integrin-complex|plasma-membrane|cell|intrinsic-component-of-plasma-membrane|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex-involved-in-cell-adhesion|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|cell-part|BFO_0000001|integral-component-of-membrane|membrane-part,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,8,10
